Date Open High Low Close* Adj Close** Volume 
Nov 09, 2018 1,073.99 1,075.56 1,053.11 1,066.15 1,066.15 1,343,200 
Nov 08, 2018 1,091.38 1,093.27 1,072.20 1,082.40 1,082.40 1,488,200 
Nov 07, 2018 1,069.00 1,095.46 1,065.90 1,093.39 1,093.39 2,058,400 
Nov 06, 2018 1,039.48 1,064.34 1,038.07 1,055.81 1,055.81 1,233,300 
Nov 05, 2018 1,055.00 1,058.47 1,021.24 1,040.09 1,040.09 2,441,400 
Nov 02, 2018 1,073.73 1,082.97 1,054.61 1,057.79 1,057.79 1,839,000 
Nov 01, 2018 1,075.80 1,083.97 1,062.46 1,070.00 1,070.00 1,482,000 
Oct 31, 2018 1,059.81 1,091.94 1,057.00 1,076.77 1,076.77 2,529,800 
Oct 30, 2018 1,008.46 1,037.49 1,000.75 1,036.21 1,036.21 3,212,700 
Oct 29, 2018 1,082.47 1,097.04 995.83 1,020.08 1,020.08 3,880,700 
Oct 26, 2018 1,037.03 1,106.53 1,034.09 1,071.47 1,071.47 4,187,600 
Oct 25, 2018 1,071.79 1,110.98 1,069.55 1,095.57 1,095.57 2,545,800 
Oct 24, 2018 1,104.25 1,106.12 1,048.74 1,050.71 1,050.71 1,982,400 
Oct 23, 2018 1,080.89 1,107.89 1,070.00 1,103.69 1,103.69 1,848,700 
Oct 22, 2018 1,103.06 1,112.23 1,091.00 1,101.16 1,101.16 1,514,200 
Oct 19, 2018 1,093.37 1,110.36 1,087.75 1,096.46 1,096.46 1,267,600 
Oct 18, 2018 1,121.84 1,121.84 1,077.09 1,087.97 1,087.97 2,094,500 
Oct 17, 2018 1,126.46 1,128.99 1,102.19 1,115.69 1,115.69 1,467,200 
Oct 16, 2018 1,104.59 1,124.22 1,102.50 1,121.28 1,121.28 1,928,500 
Oct 15, 2018 1,108.91 1,113.45 1,089.00 1,092.25 1,092.25 1,372,400 
Oct 12, 2018 1,108.00 1,115.00 1,086.40 1,110.08 1,110.08 2,101,300 
Oct 11, 2018 1,072.94 1,106.40 1,068.27 1,079.32 1,079.32 2,949,000 
Oct 10, 2018 1,131.08 1,132.17 1,081.13 1,081.22 1,081.22 2,675,700 
Oct 09, 2018 1,146.15 1,154.35 1,137.57 1,138.82 1,138.82 1,308,700 
Oct 08, 2018 1,150.11 1,168.00 1,127.36 1,148.97 1,148.97 1,932,400 
Oct 05, 2018 1,167.50 1,173.50 1,145.12 1,157.35 1,157.35 1,184,300 
Oct 04, 2018 1,195.33 1,197.51 1,155.58 1,168.19 1,168.19 2,209,500 
Oct 03, 2018 1,205.00 1,206.41 1,193.83 1,202.95 1,202.95 1,256,200 
Oct 02, 2018 1,190.96 1,209.96 1,186.63 1,200.11 1,200.11 1,687,900 
Oct 01, 2018 1,199.89 1,209.90 1,190.30 1,195.31 1,195.31 1,357,600 
Sep 28, 2018 1,191.87 1,195.41 1,184.50 1,193.47 1,193.47 1,380,600 
Sep 27, 2018 1,186.73 1,202.10 1,183.63 1,194.64 1,194.64 1,260,800 
Sep 26, 2018 1,185.15 1,194.23 1,174.77 1,180.49 1,180.49 1,462,300 
Sep 25, 2018 1,176.15 1,186.88 1,168.00 1,184.65 1,184.65 977,700 
Sep 24, 2018 1,157.17 1,178.00 1,146.91 1,173.37 1,173.37 1,271,000 
Sep 21, 2018 1,192.00 1,192.21 1,166.04 1,166.09 1,166.09 4,405,600 
Sep 20, 2018 1,179.99 1,189.89 1,173.36 1,186.87 1,186.87 1,210,000 
Sep 19, 2018 1,164.98 1,173.21 1,154.58 1,171.09 1,171.09 1,191,400 
Sep 18, 2018 1,157.09 1,176.08 1,157.09 1,161.22 1,161.22 1,203,600 
Sep 17, 2018 1,170.14 1,177.24 1,154.03 1,156.05 1,156.05 1,306,500 
Sep 14, 2018 1,179.10 1,180.43 1,168.33 1,172.53 1,172.53 944,000 
Sep 13, 2018 1,170.74 1,178.61 1,162.85 1,175.33 1,175.33 1,431,200 
Sep 12, 2018 1,172.72 1,178.61 1,158.36 1,162.82 1,162.82 1,295,500 
Sep 11, 2018 1,161.63 1,178.68 1,156.24 1,177.36 1,177.36 1,209,300 
Sep 10, 2018 1,172.19 1,174.54 1,160.11 1,164.64 1,164.64 1,115,400 
Sep 07, 2018 1,158.67 1,175.26 1,157.21 1,164.83 1,164.83 1,401,300 
Sep 06, 2018 1,186.30 1,186.30 1,152.00 1,171.44 1,171.44 1,888,500 
Sep 05, 2018 1,193.80 1,199.01 1,162.00 1,186.48 1,186.48 2,061,300 
Sep 04, 2018 1,204.27 1,212.99 1,192.50 1,197.00 1,197.00 1,831,000 
Aug 31, 2018 1,234.98 1,238.66 1,211.29 1,218.19 1,218.19 1,816,400 
Aug 30, 2018 1,244.23 1,253.64 1,232.59 1,239.12 1,239.12 1,331,400 
Aug 29, 2018 1,237.45 1,250.66 1,236.36 1,249.30 1,249.30 1,298,900 
Aug 28, 2018 1,241.29 1,242.55 1,228.69 1,231.15 1,231.15 1,304,000 
Aug 27, 2018 1,227.60 1,243.09 1,225.72 1,241.82 1,241.82 1,156,300 
Aug 24, 2018 1,208.82 1,221.65 1,206.36 1,220.65 1,220.65 946,600 
Aug 23, 2018 1,207.14 1,221.28 1,204.24 1,205.38 1,205.38 992,600 
Aug 22, 2018 1,200.00 1,211.84 1,199.00 1,207.33 1,207.33 887,400 
Aug 21, 2018 1,208.00 1,217.26 1,200.35 1,201.62 1,201.62 1,205,600 
Aug 20, 2018 1,205.02 1,211.00 1,194.63 1,207.77 1,207.77 870,800 
Aug 17, 2018 1,202.03 1,209.02 1,188.24 1,200.96 1,200.96 1,389,600 
Aug 16, 2018 1,224.73 1,226.00 1,202.55 1,206.49 1,206.49 1,343,200 
Aug 15, 2018 1,229.26 1,235.24 1,209.51 1,214.38 1,214.38 1,828,800 
Aug 14, 2018 1,235.19 1,245.87 1,225.11 1,242.10 1,242.10 1,348,100 
Aug 13, 2018 1,236.98 1,249.27 1,233.64 1,235.01 1,235.01 958,100 
Aug 10, 2018 1,243.00 1,245.69 1,232.00 1,237.61 1,237.61 1,108,700 
Aug 09, 2018 1,249.90 1,255.54 1,246.01 1,249.10 1,249.10 841,800 
Aug 08, 2018 1,240.47 1,256.50 1,238.01 1,245.61 1,245.61 1,370,300 
Aug 07, 2018 1,237.00 1,251.17 1,236.17 1,242.22 1,242.22 1,494,000 
Aug 06, 2018 1,225.00 1,226.09 1,215.80 1,224.77 1,224.77 1,081,700 
Aug 03, 2018 1,229.62 1,230.00 1,215.06 1,223.71 1,223.71 1,089,600 
Aug 02, 2018 1,205.90 1,229.88 1,204.79 1,226.15 1,226.15 1,531,300 
Aug 01, 2018 1,228.00 1,233.47 1,210.21 1,220.01 1,220.01 1,567,200 
Jul 31, 2018 1,220.01 1,227.59 1,205.60 1,217.26 1,217.26 1,644,700 
Jul 30, 2018 1,228.01 1,234.92 1,211.47 1,219.74 1,219.74 1,849,900 
Jul 27, 2018 1,271.00 1,273.89 1,231.00 1,238.50 1,238.50 2,130,600 
Jul 26, 2018 1,251.00 1,269.77 1,249.02 1,268.33 1,268.33 2,405,600 
Jul 25, 2018 1,239.13 1,265.86 1,239.13 1,263.70 1,263.70 2,127,800 
*Close price adjusted for splits.**Adjusted close price adjusted for both dividends and splits.


Apple Inc. (AAPL)
[Dec, 14, 2018, 169.00, 169.08, 165.28, 165.48, 165.48, 40634300]
[Dec, 13, 2018, 170.49, 172.57, 169.55, 170.95, 170.95, 31898600]
[Dec, 12, 2018, 170.40, 171.92, 169.02, 169.10, 169.10, 35627700]
[Dec, 11, 2018, 171.66, 171.79, 167.00, 168.63, 168.63, 47281700]
[Dec, 10, 2018, 165.00, 170.09, 163.33, 169.60, 169.60, 62026000]
[Dec, 07, 2018, 173.49, 174.49, 168.30, 168.49, 168.49, 42281600]
[Dec, 06, 2018, 171.76, 174.78, 170.42, 174.72, 174.72, 43098400]
[Dec, 04, 2018, 180.95, 182.39, 176.27, 176.69, 176.69, 41344300]
[Dec, 03, 2018, 184.46, 184.94, 181.21, 184.82, 184.82, 40802500]
[Nov, 30, 2018, 180.29, 180.33, 177.03, 178.58, 178.58, 39531500]
[Nov, 29, 2018, 182.66, 182.80, 177.70, 179.55, 179.55, 41770000]
[Nov, 28, 2018, 176.73, 181.29, 174.93, 180.94, 180.94, 46062500]
[Nov, 27, 2018, 171.51, 174.77, 170.88, 174.24, 174.24, 41387400]
[Nov, 26, 2018, 174.24, 174.95, 170.26, 174.62, 174.62, 44998500]
[Nov, 23, 2018, 174.94, 176.60, 172.10, 172.29, 172.29, 23624000]
[Nov, 21, 2018, 179.73, 180.27, 176.55, 176.78, 176.78, 31124200]
[Nov, 20, 2018, 178.37, 181.47, 175.51, 176.98, 176.98, 67825200]
[Nov, 19, 2018, 190.00, 190.70, 184.99, 185.86, 185.86, 41925300]
[Nov, 16, 2018, 190.50, 194.97, 189.46, 193.53, 193.53, 36928300]
[Nov, 15, 2018, 188.39, 191.97, 186.90, 191.41, 191.41, 46478800]
[Nov, 14, 2018, 193.90, 194.48, 185.93, 186.80, 186.80, 60801000]
[Nov, 13, 2018, 191.63, 197.18, 191.45, 192.23, 192.23, 46882900]
[Nov, 12, 2018, 199.00, 199.85, 193.79, 194.17, 194.17, 51135500]
[Nov, 09, 2018, 205.55, 206.01, 202.25, 204.47, 204.47, 34365800]
[Nov, 08, 2018, 209.98, 210.12, 206.75, 208.49, 208.49, 25362600]
[Nov, 08, 2018, 0.73, Dividend, Nov, 07, 2018, 205.97]
[210.06, 204.13, 209.95, 209.22, 33424400, Nov, 06, 2018, 201.92]
[204.72, 201.69, 203.77, 203.06, 31882900, Nov, 05, 2018, 204.30]
[204.39, 198.17, 201.59, 200.89, 66163700, Nov, 02, 2018, 209.55]
[213.65, 205.43, 207.48, 206.76, 91328700, Nov, 01, 2018, 219.05]
[222.36, 216.81, 222.22, 221.45, 58323200, Oct, 31, 2018, 216.88]
[220.45, 216.62, 218.86, 218.10, 38358900, Oct, 30, 2018, 211.15]
[215.18, 209.27, 213.30, 212.56, 36660000, Oct, 29, 2018, 219.19]
[219.69, 206.09, 212.24, 211.50, 45935500, Oct, 26, 2018, 215.90]
[220.19, 212.67, 216.30, 215.55, 47258400, Oct, 25, 2018, 217.71]
[221.38, 216.75, 219.80, 219.04, 29855800, Oct, 24, 2018, 222.60]
[224.23, 214.54, 215.09, 214.34, 40925500, Oct, 23, 2018, 215.83]
[223.25, 214.70, 222.73, 221.96, 38767800, Oct, 22, 2018, 219.79]
[223.36, 218.94, 220.65, 219.88, 28792100, Oct, 19, 2018, 218.06]
[221.26, 217.43, 219.31, 218.55, 33078700, Oct, 18, 2018, 217.86]
[219.74, 213.00, 216.02, 215.27, 32581300, Oct, 17, 2018, 222.30]
[222.64, 219.34, 221.19, 220.42, 22885400, Oct, 16, 2018, 218.93]
[222.99, 216.76, 222.15, 221.38, 29184000, Oct, 15, 2018, 221.16]
[221.83, 217.27, 217.36, 216.60, 30791000, Oct, 12, 2018, 220.42]
[222.88, 216.84, 222.11, 221.34, 40337900, Oct, 11, 2018, 214.52]
[219.50, 212.32, 214.45, 213.70, 53124400, Oct, 10, 2018, 225.46]
[226.35, 216.05, 216.36, 215.61, 41990600, Oct, 09, 2018, 223.64]
[227.27, 222.25, 226.87, 226.08, 26891000, Oct, 08, 2018, 222.21]
[224.80, 220.20, 223.77, 222.99, 29663900, Oct, 05, 2018, 227.96]
[228.41, 220.58, 224.29, 223.51, 33580500, Oct, 04, 2018, 230.78]
[232.35, 226.73, 227.99, 227.20, 32042000, Oct, 03, 2018, 230.05]
[233.47, 229.78, 232.07, 231.26, 28654800, Oct, 02, 2018, 227.25]
[230.00, 226.63, 229.28, 228.48, 24788200, Oct, 01, 2018, 227.95]
[229.42, 226.35, 227.26, 226.47, 23600800, Sep, 28, 2018, 224.79]
[225.84, 224.02, 225.74, 224.96, 22929400, Sep, 27, 2018, 223.82]
[226.44, 223.54, 224.95, 224.17, 30181200, Sep, 26, 2018, 221.00]
[223.75, 219.76, 220.42, 219.65, 23984700, Sep, 25, 2018, 219.75]
[222.82, 219.70, 222.19, 221.42, 24554400, Sep, 24, 2018, 216.82]
[221.26, 216.63, 220.79, 220.02, 27693400, Sep, 21, 2018, 220.78]
[221.36, 217.29, 217.66, 216.90, 96246700, Sep, 20, 2018, 220.24]
[222.28, 219.15, 220.03, 219.26, 26608800, Sep, 19, 2018, 218.50]
[219.62, 215.30, 218.37, 217.61, 27123800, Sep, 18, 2018, 217.79]
[221.85, 217.12, 218.24, 217.48, 31571700, Sep, 17, 2018, 222.15]
[222.95, 217.27, 217.88, 217.12, 37195100, Sep, 14, 2018, 225.75]
[226.84, 222.52, 223.84, 223.06, 31999300, Sep, 13, 2018, 223.52]
[228.35, 222.57, 226.41, 225.62, 41706400, Sep, 12, 2018, 224.94]
[225.00, 219.84, 221.07, 220.30, 49278700, Sep, 11, 2018, 218.01]
[224.30, 216.56, 223.85, 223.07, 35749000, Sep, 10, 2018, 220.95]
[221.85, 216.47, 218.33, 217.57, 39516500, Sep, 07, 2018, 221.85]
[225.37, 220.71, 221.30, 220.53, 37619800, Sep, 06, 2018, 226.23]
[227.35, 221.30, 223.10, 222.32, 34290000, Sep, 05, 2018, 228.99]
[229.67, 225.10, 226.87, 226.08, 33333000, Sep, 04, 2018, 228.41]
[229.18, 226.63, 228.36, 227.57, 27390100, Aug, 31, 2018, 226.51]
[228.87, 226.00, 227.63, 226.84, 43340100, Aug, 30, 2018, 223.25]
[228.26, 222.40, 225.03, 224.25, 48793800, Aug, 29, 2018, 220.15]
[223.49, 219.41, 222.98, 222.20, 27254800, Aug, 28, 2018, 219.01]
[220.54, 218.92, 219.70, 218.94, 22776800, Aug, 27, 2018, 217.15]
[218.74, 216.33, 217.94, 217.18, 20525100, Aug, 24, 2018, 216.60]
[216.90, 215.11, 216.16, 215.41, 18476400, Aug, 23, 2018, 214.65]
[217.05, 214.60, 215.49, 214.74, 18883200, Aug, 22, 2018, 214.10]
[216.36, 213.84, 215.05, 214.30, 19018100, Aug, 21, 2018, 216.80]
[217.19, 214.03, 215.04, 214.29, 26159800, Aug, 20, 2018, 218.10]
[219.18, 215.11, 215.46, 214.71, 30287700, Aug, 17, 2018, 213.44]
[217.95, 213.16, 217.58, 216.82, 35427000, Aug, 16, 2018, 211.75]
[213.81, 211.47, 213.32, 212.58, 28500400, Aug, 15, 2018, 209.22]
[210.74, 208.33, 210.24, 209.51, 28807600, Aug, 14, 2018, 210.16]
[210.56, 208.26, 209.75, 209.02, 20748000, Aug, 13, 2018, 209.31]
[210.95, 207.70, 208.87, 208.14, 25890900, Aug, 10, 2018, 207.36]
[209.10, 206.67, 207.53, 206.81, 24611200, Aug, 10, 2018, 0.73]
[Dividend, Aug, 09, 2018, 209.53, 209.78, 207.20, 208.88, 207.43]
[23492600, Aug, 08, 2018, 206.05, 207.81, 204.52, 207.25, 205.81]
[22525500, Aug, 07, 2018, 209.32, 209.50, 206.76, 207.11, 205.67]
[25587400, Aug, 06, 2018, 208.00, 209.25, 207.07, 209.07, 207.61]
[25425400, Aug, 03, 2018, 207.03, 208.74, 205.48, 207.99, 206.54]
[33447400, Aug, 02, 2018, 200.58, 208.38, 200.35, 207.39, 205.95]
[62404000, Aug, 01, 2018, 199.13, 201.76, 197.31, 201.50, 200.10]
[67935700, Jul, 31, 2018, 190.30, 192.14, 189.34, 190.29, 188.97]
[39373000, Jul, 30, 2018, 191.90, 192.20, 189.07, 189.91, 188.59]
[21029500, Jul, 27, 2018, 194.99, 195.19, 190.10, 190.98, 189.65]

END


Apple Inc. (AAPL)
[Dec, 14, 2018, 169.00, 169.08, 165.28, 165.48, 165.48, 40634300]
[Dec, 13, 2018, 170.49, 172.57, 169.55, 170.95, 170.95, 31898600]
[Dec, 12, 2018, 170.40, 171.92, 169.02, 169.10, 169.10, 35627700]
[Dec, 11, 2018, 171.66, 171.79, 167.00, 168.63, 168.63, 47281700]
[Dec, 10, 2018, 165.00, 170.09, 163.33, 169.60, 169.60, 62026000]
[Dec, 07, 2018, 173.49, 174.49, 168.30, 168.49, 168.49, 42281600]
[Dec, 06, 2018, 171.76, 174.78, 170.42, 174.72, 174.72, 43098400]
[Dec, 04, 2018, 180.95, 182.39, 176.27, 176.69, 176.69, 41344300]
[Dec, 03, 2018, 184.46, 184.94, 181.21, 184.82, 184.82, 40802500]
[Nov, 30, 2018, 180.29, 180.33, 177.03, 178.58, 178.58, 39531500]
[Nov, 29, 2018, 182.66, 182.80, 177.70, 179.55, 179.55, 41770000]
[Nov, 28, 2018, 176.73, 181.29, 174.93, 180.94, 180.94, 46062500]
[Nov, 27, 2018, 171.51, 174.77, 170.88, 174.24, 174.24, 41387400]
[Nov, 26, 2018, 174.24, 174.95, 170.26, 174.62, 174.62, 44738600]
[Nov, 23, 2018, 174.94, 176.60, 172.10, 172.29, 172.29, 23624000]
[Nov, 21, 2018, 179.73, 180.27, 176.55, 176.78, 176.78, 31124200]
[Nov, 20, 2018, 178.37, 181.47, 175.51, 176.98, 176.98, 67825200]
[Nov, 19, 2018, 190.00, 190.70, 184.99, 185.86, 185.86, 41925300]
[Nov, 16, 2018, 190.50, 194.97, 189.46, 193.53, 193.53, 36928300]
[Nov, 15, 2018, 188.39, 191.97, 186.90, 191.41, 191.41, 46478800]
[Nov, 14, 2018, 193.90, 194.48, 185.93, 186.80, 186.80, 60801000]
[Nov, 13, 2018, 191.63, 197.18, 191.45, 192.23, 192.23, 46882900]
[Nov, 12, 2018, 199.00, 199.85, 193.79, 194.17, 194.17, 51135500]
[Nov, 09, 2018, 205.55, 206.01, 202.25, 204.47, 204.47, 34365800]
[Nov, 08, 2018, 209.98, 210.12, 206.75, 208.49, 208.49, 25362600]
[Nov, 07, 2018, 205.97, 210.06, 204.13, 209.95, 209.22, 33424400]
[Nov, 06, 2018, 201.92, 204.72, 201.69, 203.77, 203.06, 31882900]
[Nov, 05, 2018, 204.30, 204.39, 198.17, 201.59, 200.89, 66163700]
[Nov, 02, 2018, 209.55, 213.65, 205.43, 207.48, 206.76, 91328700]
[Nov, 01, 2018, 219.05, 222.36, 216.81, 222.22, 221.45, 58323200]
[Oct, 31, 2018, 216.88, 220.45, 216.62, 218.86, 218.10, 38358900]
[Oct, 30, 2018, 211.15, 215.18, 209.27, 213.30, 212.56, 36660000]
[Oct, 29, 2018, 219.19, 219.69, 206.09, 212.24, 211.50, 45935500]
[Oct, 26, 2018, 215.90, 220.19, 212.67, 216.30, 215.55, 47258400]
[Oct, 25, 2018, 217.71, 221.38, 216.75, 219.80, 219.04, 29855800]
[Oct, 24, 2018, 222.60, 224.23, 214.54, 215.09, 214.34, 40925500]
[Oct, 23, 2018, 215.83, 223.25, 214.70, 222.73, 221.96, 38767800]
[Oct, 22, 2018, 219.79, 223.36, 218.94, 220.65, 219.88, 28792100]
[Oct, 19, 2018, 218.06, 221.26, 217.43, 219.31, 218.55, 33078700]
[Oct, 18, 2018, 217.86, 219.74, 213.00, 216.02, 215.27, 32581300]
[Oct, 17, 2018, 222.30, 222.64, 219.34, 221.19, 220.42, 22885400]
[Oct, 16, 2018, 218.93, 222.99, 216.76, 222.15, 221.38, 29184000]
[Oct, 15, 2018, 221.16, 221.83, 217.27, 217.36, 216.60, 30791000]
[Oct, 12, 2018, 220.42, 222.88, 216.84, 222.11, 221.34, 40337900]
[Oct, 11, 2018, 214.52, 219.50, 212.32, 214.45, 213.70, 53124400]
[Oct, 10, 2018, 225.46, 226.35, 216.05, 216.36, 215.61, 41990600]
[Oct, 09, 2018, 223.64, 227.27, 222.25, 226.87, 226.08, 26891000]
[Oct, 08, 2018, 222.21, 224.80, 220.20, 223.77, 222.99, 29663900]
[Oct, 05, 2018, 227.96, 228.41, 220.58, 224.29, 223.51, 33580500]
[Oct, 04, 2018, 230.78, 232.35, 226.73, 227.99, 227.20, 32042000]
[Oct, 03, 2018, 230.05, 233.47, 229.78, 232.07, 231.26, 28654800]
[Oct, 02, 2018, 227.25, 230.00, 226.63, 229.28, 228.48, 24788200]
[Oct, 01, 2018, 227.95, 229.42, 226.35, 227.26, 226.47, 23600800]
[Sep, 28, 2018, 224.79, 225.84, 224.02, 225.74, 224.96, 22929400]
[Sep, 27, 2018, 223.82, 226.44, 223.54, 224.95, 224.17, 30181200]
[Sep, 26, 2018, 221.00, 223.75, 219.76, 220.42, 219.65, 23984700]
[Sep, 25, 2018, 219.75, 222.82, 219.70, 222.19, 221.42, 24554400]
[Sep, 24, 2018, 216.82, 221.26, 216.63, 220.79, 220.02, 27693400]
[Sep, 21, 2018, 220.78, 221.36, 217.29, 217.66, 216.90, 96246700]
[Sep, 20, 2018, 220.24, 222.28, 219.15, 220.03, 219.26, 26608800]
[Sep, 19, 2018, 218.50, 219.62, 215.30, 218.37, 217.61, 27123800]
[Sep, 18, 2018, 217.79, 221.85, 217.12, 218.24, 217.48, 31571700]
[Sep, 17, 2018, 222.15, 222.95, 217.27, 217.88, 217.12, 37195100]
[Sep, 14, 2018, 225.75, 226.84, 222.52, 223.84, 223.06, 31999300]
[Sep, 13, 2018, 223.52, 228.35, 222.57, 226.41, 225.62, 41706400]
[Sep, 12, 2018, 224.94, 225.00, 219.84, 221.07, 220.30, 49278700]
[Sep, 11, 2018, 218.01, 224.30, 216.56, 223.85, 223.07, 35749000]
[Sep, 10, 2018, 220.95, 221.85, 216.47, 218.33, 217.57, 39516500]
[Sep, 07, 2018, 221.85, 225.37, 220.71, 221.30, 220.53, 37619800]
[Sep, 06, 2018, 226.23, 227.35, 221.30, 223.10, 222.32, 34290000]
[Sep, 05, 2018, 228.99, 229.67, 225.10, 226.87, 226.08, 33333000]
[Sep, 04, 2018, 228.41, 229.18, 226.63, 228.36, 227.57, 27390100]
[Aug, 31, 2018, 226.51, 228.87, 226.00, 227.63, 226.84, 43340100]
[Aug, 30, 2018, 223.25, 228.26, 222.40, 225.03, 224.25, 48793800]
[Aug, 29, 2018, 220.15, 223.49, 219.41, 222.98, 222.20, 27254800]
[Aug, 28, 2018, 219.01, 220.54, 218.92, 219.70, 218.94, 22776800]
[Aug, 27, 2018, 217.15, 218.74, 216.33, 217.94, 217.18, 20525100]
[Aug, 24, 2018, 216.60, 216.90, 215.11, 216.16, 215.41, 18476400]
[Aug, 23, 2018, 214.65, 217.05, 214.60, 215.49, 214.74, 18883200]
[Aug, 22, 2018, 214.10, 216.36, 213.84, 215.05, 214.30, 19018100]
[Aug, 21, 2018, 216.80, 217.19, 214.03, 215.04, 214.29, 26159800]
[Aug, 20, 2018, 218.10, 219.18, 215.11, 215.46, 214.71, 30287700]
[Aug, 17, 2018, 213.44, 217.95, 213.16, 217.58, 216.82, 35427000]
[Aug, 16, 2018, 211.75, 213.81, 211.47, 213.32, 212.58, 28500400]
[Aug, 15, 2018, 209.22, 210.74, 208.33, 210.24, 209.51, 28807600]
[Aug, 14, 2018, 210.16, 210.56, 208.26, 209.75, 209.02, 20748000]
[Aug, 13, 2018, 209.31, 210.95, 207.70, 208.87, 208.14, 25890900]
[Aug, 10, 2018, 207.36, 209.10, 206.67, 207.53, 206.81, 24611200]
[Aug, 09, 2018, 209.53, 209.78, 207.20, 208.88, 207.43, 23492600]
[Aug, 08, 2018, 206.05, 207.81, 204.52, 207.25, 205.81, 22525500]
[Aug, 07, 2018, 209.32, 209.50, 206.76, 207.11, 205.67, 25587400]
[Aug, 06, 2018, 208.00, 209.25, 207.07, 209.07, 207.61, 25425400]
[Aug, 03, 2018, 207.03, 208.74, 205.48, 207.99, 206.54, 33447400]
[Aug, 02, 2018, 200.58, 208.38, 200.35, 207.39, 205.95, 62404000]
[Aug, 01, 2018, 199.13, 201.76, 197.31, 201.50, 200.10, 67935700]
[Jul, 31, 2018, 190.30, 192.14, 189.34, 190.29, 188.97, 39373000]
[Jul, 30, 2018, 191.90, 192.20, 189.07, 189.91, 188.59, 21029500]

END
